timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-24,119.28,119.82,119.14,119.68,114.366,9053500,0.0,1.0
2018-07-25,120.02,120.26,119.26,119.49,114.1844,7357100,0.0,1.0
2018-07-26,119.71,119.88,119.16,119.26,113.9646,6821100,0.0,1.0
2018-07-27,119.85,119.87,119.4,119.46,114.1558,4542100,0.0,1.0
2018-07-30,118.99,119.41,118.97,119.05,113.764,7111200,0.0,1.0
2018-07-31,119.79,119.86,119.56,119.7,114.3851,6797400,0.0,1.0
2018-08-01,118.29,118.84,118.07,118.46,113.4551,13312700,0.2668,1.0
2018-08-02,118.62,118.74,118.3,118.63,113.618,4451100,0.0,1.0
2018-08-03,118.83,119.29,118.81,119.22,114.183,6162400,0.0,1.0
2018-08-06,119.54,119.84,119.27,119.29,114.2501,4200300,0.0,1.0
2018-08-07,119.03,119.1,118.57,118.67,113.6563,5346900,0.0,1.0
2018-08-08,118.66,119.03,118.61,118.79,113.7712,5641600,0.0,1.0
2018-08-09,119.23,119.83,119.12,119.79,114.7289,7144300,0.0,1.0
2018-08-10,120.37,121.05,120.28,120.66,115.5622,8457900,0.0,1.0
2018-08-13,120.25,120.7,120.21,120.41,115.3227,7923200,0.0,1.0
2018-08-14,120.54,120.56,120.03,120.14,115.0642,4251300,0.0,1.0
2018-08-15,120.66,121.13,120.57,120.84,115.7346,7650000,0.0,1.0
2018-08-16,120.81,120.93,120.28,120.83,115.725,5400400,0.0,1.0
2018-08-17,121.09,121.39,120.75,120.98,115.8687,3537600,0.0,1.0
2018-08-20,121.64,121.91,121.54,121.79,116.6444,5604100,0.0,1.0
2018-08-21,121.37,121.53,121.07,121.38,116.2518,4695000,0.0,1.0
2018-08-22,122.0,122.05,121.58,121.86,116.7115,5309600,0.0,1.0
2018-08-23,122.0,122.13,121.78,122.05,116.8935,5329000,0.0,1.0
2018-08-24,121.62,122.33,121.49,122.29,117.1233,6092200,0.0,1.0
2018-08-27,121.78,121.87,121.52,121.59,116.4529,6407400,0.0,1.0
2018-08-28,121.0,121.09,120.68,120.86,115.7537,4929300,0.0,1.0
2018-08-29,120.94,121.15,120.62,121.02,115.907,5613300,0.0,1.0
2018-08-30,121.31,121.46,121.08,121.28,116.156,5302900,0.0,1.0
2018-08-31,121.89,121.92,120.89,121.0,115.8878,9677500,0.0,1.0
2018-09-04,119.96,120.1,119.75,120.03,115.2196,18343600,0.2723,1.0
2018-09-05,119.76,119.9,119.55,119.71,114.9125,9422600,0.0,1.0
2018-09-06,119.76,120.4,119.69,120.15,115.3348,9566000,0.0,1.0
2018-09-07,119.33,119.4,118.99,119.13,114.3557,11212600,0.0,1.0
2018-09-10,119.17,119.6,119.17,119.57,114.7781,6386400,0.0,1.0
2018-09-11,119.08,119.17,118.6,118.66,113.9045,5440000,0.0,1.0
2018-09-12,119.05,119.17,118.9,118.94,114.1733,3347200,0.0,1.0
2018-09-13,119.34,119.57,118.98,119.12,114.3461,4833000,0.0,1.0
2018-09-14,118.41,118.91,118.3,118.55,113.7989,5579500,0.0,1.0
2018-09-17,118.18,118.82,118.12,118.55,113.7989,5433000,0.0,1.0
2018-09-18,118.06,118.07,117.16,117.31,112.6086,10182300,0.0,1.0
2018-09-19,117.11,117.11,116.19,116.61,111.9367,13379600,0.0,1.0
2018-09-20,116.58,117.3,116.47,117.15,112.455,8657300,0.0,1.0
2018-09-21,116.87,117.28,116.84,117.1,112.4071,6173800,0.0,1.0
2018-09-24,116.74,117.27,116.72,116.8,112.1191,5505800,0.0,1.0
2018-09-25,116.48,116.74,116.4,116.68,112.0039,6650900,0.0,1.0
2018-09-26,116.93,117.58,116.66,117.5,112.791,9512900,0.0,1.0
2018-09-27,117.24,117.65,117.1,117.58,112.8678,5758600,0.0,1.0
2018-09-28,117.85,117.91,117.22,117.27,112.5702,12807700,0.0,1.0
